series_ticker,title,n_events,n_markets,earliest_call,latest_call
KXEARNINGSMENTIONPGR,Progressive Earnings Call,0,0,,
KXEARNINGSMENTIONFDX,What will FedEx say during their earnings call?,3,0,,
KXEARNINGSMENTIONHPE,Hewlett Packard Enterprise,2,10,2026-03-10,2026-03-10
KXEARNINGSMENTIONRY,Royal Bank of Canada,2,10,2026-02-26,2026-02-26
KXEARNINGSMENTIONDOCUSIGN,What will Docusign say during its earnings call?,0,0,,
KXEARNINGSMENTIONPYPL,PayPal Earnings,2,13,2026-02-03,2026-02-03
KXEARNINGSMENTIONADOBE,What will Adobe say during its earnings call?,1,0,,
KXEARNINGSMENTIONNIO,What will Nio say during their earnings call?,1,0,,
KXEARNINGSMENTIONGME,GME earnings mention,1,0,,
KXEARNINGSMENTIONUAL,United Airlines Earnings Mention,2,12,2026-01-22,2026-01-22
KXEARNINGSMENTIONDELL,Dell Earnings,2,13,2026-02-26,2026-02-26
KXEARNINGSMENTIONNFLX,What will netflix say on their next earnings call?,4,14,2026-01-21,2026-01-21
KXMENTIONEARNSFD,Smithfield Foods Earnings,1,13,2026-03-24,2026-03-24
KXEARNINGSMENTIONTFC,Truist Financial Earnings Call,0,0,,
KXMENTIONEARNCCL,Carnival Earnings Call,1,10,2026-03-27,2026-03-27
KXMENTIONEARNNKE,Nike Earnings Call,1,16,2026-04-01,2026-04-01
KXEARNINGSMENTIONDE,Deere,2,12,2026-02-19,2026-02-19
KXEARNINGSMENTIONON,ON Semi,1,8,2026-02-10,2026-02-10
KXEARNINGSMENTIONDAL,Delta Earnings,2,0,,
KXEARNINGSMENTIONLYFT,Lyft Earnings,2,12,2026-02-10,2026-02-10
KXEARNINGSMENTIONADBE,Adobe Earnings,2,11,2026-03-12,2026-03-12
KXEARNINGSMENTIONV,WHAT WILL VISA SAY IN THEIR NEXT EARNINGS CALL,1,13,2026-01-30,2026-01-30
KXEARNINGSMENTIONAAPL,Apple earnings mention,4,16,2026-01-30,2026-01-30
KXEARNINGSMENTIONCHWY,Chewy Earnings,1,0,,
